                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3389,                 1.2438,                 1.4978,                0.71062,                  0.589,                0.66177,                0.35926,                 1.5823,                  1.233,                 1.7228,              0.0011059,              0.0011059,              0.0011059
                     36,                   1.37,                 1.2296,                 1.5175,                0.72482,                0.61961,                0.70377,                0.38575,                 1.5743,                 1.2671,                 1.7302,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3577,                 1.2175,                 1.5169,                 0.8112,                0.56916,                 0.6956,                   0.39,                 1.5645,                 1.2314,                 1.7355,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.354,                 1.2256,                 1.5022,                0.72796,                0.61054,                0.67219,                 0.3725,                 1.5686,                 1.2103,                 1.7172,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.343,                 1.1983,                 1.5041,                0.67772,                0.61659,                0.65707,                 0.3559,                 1.5444,                 1.2954,                 1.6871,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3473,                 1.1657,                 1.5079,                0.70763,                0.58336,                0.66248,                0.35642,                 1.5293,                 1.1992,                 1.6689,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3109,                  1.176,                 1.4792,                0.75276,                0.60761,                0.70209,                0.38483,                 1.5385,                  1.255,                 1.6697,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3109,                 1.1516,                 1.4806,                0.79386,                0.62528,                0.72527,                0.41266,                 1.4814,                 1.1311,                 1.6416,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2983,                 1.1165,                 1.4573,                0.76532,                0.59462,                0.72607,                0.41858,                 1.4824,                 1.0867,                 1.6134,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3228,                 1.1201,                 1.4642,                0.71181,                0.67971,                 0.7365,                0.41352,                   1.49,                 1.1185,                 1.6389,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2837,                 1.0793,                  1.464,                0.75595,                0.67385,                0.74064,                0.43783,                 1.4806,                 1.0984,                 1.6279,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2704,                 1.0887,                 1.4527,                0.74682,                0.68084,                0.74369,                0.43626,                 1.4778,                 1.0902,                 1.6062,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2685,                 1.0739,                 1.4394,                0.71051,                0.56668,                0.66249,                0.37997,                 1.4592,                 1.1916,                 1.5984,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2475,                 1.0449,                 1.4276,                 0.7177,                0.69765,                0.74515,                 0.4304,                  1.465,                 1.0752,                 1.5943,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2319,                 1.0316,                 1.4059,                0.75938,                0.70623,                0.78543,                0.45168,                  1.472,                 1.0717,                 1.6137,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2498,                 1.0488,                 1.4252,                0.74827,                0.67256,                0.75223,                0.43416,                  1.477,                 1.1586,                 1.6305,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2491,                  1.044,                  1.431,                0.80339,                0.66325,                0.76168,                0.44647,                  1.462,                 1.0893,                 1.6011,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2271,                 1.0297,                  1.411,                 0.7693,                0.71882,                0.78059,                0.45071,                 1.5018,                 1.0805,                 1.6257,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2369,                 1.0216,                 1.4207,                0.75773,                 0.6787,                0.74725,                0.44185,                  1.454,                 1.0755,                 1.6002,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2153,                0.99419,                 1.4043,                0.75066,                 0.6781,                 0.7439,                0.43932,                 1.4334,                 1.0424,                 1.5763,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1898,                 0.9771,                 1.3928,                0.73876,                0.65725,                0.72655,                0.42757,                  1.448,                 1.1143,                 1.5945,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2194,                0.97755,                 1.3888,                0.79539,                0.61352,                0.72958,                0.42131,                 1.4717,                 1.0867,                 1.6144,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1812,                0.97405,                   1.37,                0.81218,                0.68764,                0.78348,                0.46654,                 1.4112,                  1.015,                 1.5576,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1798,                0.95424,                  1.375,                0.77692,                0.67937,                0.75465,                0.44843,                 1.4471,                 1.0427,                 1.5917,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1807,                0.92895,                 1.3681,                0.86224,                0.65995,                0.79574,                0.46215,                 1.4187,                 1.0031,                 1.5657,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1636,                0.93284,                 1.3681,                 0.7577,                0.72668,                0.77495,                0.46588,                 1.4433,                 0.9918,                  1.588,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1523,                0.94848,                 1.3612,                0.80077,                0.69066,                0.79649,                0.46553,                 1.4171,                0.98243,                 1.5598,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1298,                0.88561,                 1.3402,                 0.7555,                0.68546,                0.75911,                0.44831,                 1.4586,                 1.0283,                 1.5971,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1406,                0.87763,                  1.349,                0.76921,                0.68084,                0.77031,                0.45838,                 1.4011,                0.97267,                 1.5601,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1388,                0.88168,                 1.3443,                0.81761,                0.70465,                0.80007,                0.47816,                 1.4379,                 1.0067,                 1.5944,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1238,                0.88766,                 1.3392,                0.82988,                0.71047,                0.80778,                0.47489,                 1.4233,                 0.9787,                 1.5635,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1218,                0.86647,                 1.3226,                0.75903,                0.73387,                0.78721,                0.47463,                 1.4102,                0.95749,                 1.5788,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1115,                0.86917,                 1.3303,                0.80907,                0.71939,                0.80286,                0.48803,                 1.3914,                0.90908,                 1.5468,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0949,                0.85838,                 1.3186,                 0.8064,                0.70083,                0.78846,                0.47914,                 1.4269,                0.98891,                 1.5781,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0851,                0.84175,                 1.3079,                0.79169,                0.76803,                0.82324,                0.48909,                 1.4336,                0.93256,                 1.5875,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0903,                0.83328,                 1.3147,                0.82319,                0.73882,                0.81109,                 0.4927,                 1.4189,                0.94978,                 1.5644,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0922,                0.83541,                 1.2997,                 0.8773,                0.70578,                0.82872,                0.48904,                 1.4019,                0.91192,                 1.5641,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1142,                0.85894,                 1.3434,                0.79811,                  0.739,                0.81593,                0.49074,                 1.4227,                0.96538,                 1.5928,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0544,                 0.7987,                 1.2841,                0.81921,                0.74036,                0.82264,                0.49538,                 1.4004,                0.88272,                 1.5554,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0537,                 0.7843,                 1.2821,                0.80676,                0.74745,                0.81052,                0.48794,                 1.4121,                0.93828,                 1.5748,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0567,                0.79901,                 1.2835,                0.86316,                0.71293,                0.81719,                0.49265,                 1.3935,                0.92077,                 1.5581,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0264,                0.79074,                 1.2638,                0.81466,                0.71995,                0.81537,                0.50667,                 1.3877,                0.92398,                 1.5608,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0502,                0.77352,                 1.2845,                0.83254,                0.70862,                0.81408,                0.50209,                 1.3938,                 0.9214,                 1.5507,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0062,                0.77344,                  1.258,                0.83016,                0.76077,                0.84279,                0.50378,                 1.4187,                 0.8568,                  1.589,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0159,                0.74811,                 1.2542,                0.84934,                 0.7517,                 0.8343,                0.49922,                 1.3911,                0.86669,                 1.5629,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.013,                0.74052,                  1.252,                0.73415,                0.80215,                0.81852,                0.50656,                 1.3817,                0.86018,                 1.5453,             0.00036324,             0.00036324,             0.00036324
                     81,                0.99053,                0.72846,                 1.2479,                0.84206,                0.72823,                0.82599,                0.50929,                 1.3813,                0.86374,                 1.5517,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0006,                0.72696,                 1.2439,                   0.83,                0.73252,                0.82257,                 0.5086,                 1.3861,                0.84983,                 1.5679,             0.00033023,             0.00033023,             0.00033023
